,course_title,course_URL,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,course_icon,image_name
0,Google IT Support,https://www.coursera.org/professional-certificates/google-it-support,Google,PROFESSIONAL CERTIFICATE,4.8,Beginner,610k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/14/b2d530f1ad11e7ab380fc0c6c817a8/Search-Thumbnail.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Google IT Support by Google
1,IBM Data Science,https://www.coursera.org/professional-certificates/ibm-data-science,IBM,PROFESSIONAL CERTIFICATE,4.6,Beginner,640k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/ed/4131809fe511e8937a7926bc59e37f/Professional-Certificate---Data-Science---600x600---Blu-Text.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,IBM Data Science by IBM
2,Introduction to Data Science,https://www.coursera.org/specializations/introduction-data-science,IBM,SPECIALIZATION,4.6,Beginner,410k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/32/d719a2d0d946d59e1151bc10ec29f5/Specialization-Certificate-Emblem---IDS---600x600.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Introduction to Data Science by IBM
3,Python for Everybody,https://www.coursera.org/specializations/python,University of Michigan,SPECIALIZATION,4.8,Beginner,2m,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d2j5ihb19pt1hq.cloudfront.net/sdp_page/s12n_logos/python.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Python for Everybody by University of Michigan
4,Deep Learning,https://www.coursera.org/specializations/deep-learning,deeplearning.ai,SPECIALIZATION,4.8,Intermediate,890k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/57/4be3fd8d16487ab9cfa7bba909b236/GreyLogoName1000x1000.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Deep Learning by deeplearning.ai
5,Google IT Automation with Python,https://www.coursera.org/professional-certificates/google-it-automation,Google,PROFESSIONAL CERTIFICATE,4.7,Beginner,250k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/10/94e64625eb4b41b05e66ed0e5bab30/Xavier-MI-Thompson-119.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Google IT Automation with Python by Google
6,Machine Learning,https://www.coursera.org/learn/machine-learning,Stanford University,COURSE,4.9,Mixed,3.6m,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera/topics/ml/large-icon.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Machine Learning by Stanford University
7,Key Technologies for Business,https://www.coursera.org/specializations/key-technologies-for-business,IBM,SPECIALIZATION,4.7,Beginner,430k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/93/1543b8c7d64dad864ca79e876a065d/Key-Technology-Foundations-1-.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Key Technologies for Business by IBM
8,IBM AI Foundations for Business,https://www.coursera.org/specializations/ibm-ai-foundations-for-business,IBM,SPECIALIZATION,4.7,Beginner,430k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/bb/a0b5642d924caabb6101aa7e1afa66/IBM-AI-Foundations-for-Business.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,IBM AI Foundations for Business by IBM
9,IBM Data Analyst,https://www.coursera.org/professional-certificates/ibm-data-analyst,IBM,PROFESSIONAL CERTIFICATE,4.6,Beginner,350k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/63/baf9bea98641aeb8fd36a7b1291791/DA-PC_Image.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,IBM Data Analyst by IBM
10,Applied Data Science,https://www.coursera.org/specializations/applied-data-science,IBM,SPECIALIZATION,4.6,Beginner,290k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/8b/61b3208e9411e8bd0e199d89262fda/Applied_Data_Science.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Applied Data Science by IBM
11,Cloud Architecture with Google Cloud,https://www.coursera.org/professional-certificates/gcp-cloud-architect,Google Cloud,PROFESSIONAL CERTIFICATE,4.7,Intermediate,420k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/1d/714104d1c241e8981bb58390da9811/Option-2_1.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Cloud Architecture with Google Cloud by Google Cloud
12,The Science of Well-Being,https://www.coursera.org/learn/the-science-of-well-being,Yale University,COURSE,4.9,Mixed,3m,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/7e/aff5b0f54c11e7b5ae579a0e963c38/Logo_TheScienceofWell-Being.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,The Science of Well-Being by Yale University
13,Technical Support Fundamentals,https://www.coursera.org/learn/technical-support-fundamentals,Google,COURSE,4.8,Beginner,490k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/c8/e497f0f1ad11e7acdcffe7a1a68190/Course-Logo-1.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Technical Support Fundamentals by Google
